ID,Type,RA,Decl,I,V,V_I,P,T0,A,Ecc,Incl,Peri,Model,loc,sed_dist,sed_av,sed_av_err,sed_radius,sed_radius_err,sed_teff,sed_teff_err,sed_logg,sed_logg_err,sed_feh,sed_irslope,sed_chi2oN,Av_median,Av_minus_two_sigma,Av_plus_two_sigma,sed_L
OGLE-LMC-HB-0183,RG,05:17:39.85,-69:10:57.6,15.517,17.151,1.634,392.5,9384.9,0.018,0.165,58.5,176.6,1,LMC,49970.0,0.5444999999999999,0.35513154645087763,61.043410428061776,1.5779352808972422,4189.78627564602,185.47524759092605,2.023899999999997,1.1955035189413599,-0.7,-0.0014811236086115808,1.7075404662297207,0.2205,0.0,0.5445,1042.4706641150278
OGLE-LMC-HB-0184,RG,05:17:43.36,-70:30:26.1,15.694,17.294,1.6,381.13,9017.2,0.03,0.241,62.4,164.9,1,LMC,49970.0,0.3532499999981035,0.37869628925047094,63.313081017400705,1.75572810444207,4092.2905622269886,202.289221959259,1.9864999999985185,0.772760519674379,-0.7,0.012760201537594443,2.1558398494671684,0.18225,0.015750000000000014,0.35325,1020.6375197970974
OGLE-LMC-HB-0185,MS,05:17:44.82,-69:37:39.6,16.482,16.925,0.443,31.19359,9004.584,0.185,0.5672,64.5,73.6,0,LMC,49970.0,0.14770304593188086,0.9545765730269905,14.733694115469238,1.8291493826039256,6749.999933963397,1815.5137933293056,2.9940759765987934,1.8898090606240883,-0.7,0.00903275314660411,5.943684155701839,0.1305,0.0,0.4275,409.1260733405621
OGLE-LMC-HB-0186,MS,05:17:45.07,-69:43:16.7,14.136,14.044,-0.092,12.64554,9008.827,0.018,0.482,35.3,131.3,1,LMC,49970.0,0.22006579700772094,0.08283226313740107,16.360208238762205,0.5775372950688348,18999.999990433265,1968.3763809255688,0.33343049267382957,169160.3438264072,-0.7,0.007706704037929174,6.671833192946832,0.15750000000000003,0.0,0.5085000000000001,31667.28584216735
OGLE-LMC-HB-0187,RG,05:17:46.33,-69:29:09.2,15.233,16.897,1.664,458.976,9235.8,0.059,0.3264,56.5,100.7,1,LMC,49970.0,0.6974999999968421,0.564304509856748,72.55100694756833,2.2483117313068988,4182.636483301667,289.1109232768568,1.9188999997529836,1.260537117823175,-0.7,-0.004446860556186519,0.9726479177096409,0.207,0.0,0.6975,1462.5346326506076
OGLE-LMC-HB-0188,RG,05:18:10.17,-70:21:11.9,15.538,17.213,1.675,392.975,9295.4,0.057,0.3166,59.1,25.9,1,LMC,49970.0,0.4299995039868176,0.5483784839167118,70.55378404526802,2.1636625458245473,4015.42459664559,276.37095529501516,0.873601453037146,0.5221286474097363,-0.7,-0.011960946521813788,1.3208545489744128,0.28800000000000003,0.004500000000000004,0.5715,1174.8578079708832
OGLE-LMC-HB-0189,RG,05:18:14.67,-70:37:51.4,16.133,17.6,1.467,276.3,9221.2,0.03,0.272,58.2,114.6,1,LMC,49970.0,0.4596691032434099,0.37976201585891717,47.15114315738274,1.393394772544545,4281.979011411416,240.1014560004487,2.1927999999999988,1.1069993798175726,-0.7,0.008226216011968194,1.044745298455243,0.23174999999999998,0.0,0.50625,678.5492497254656
OGLE-LMC-HB-0190,RG,05:18:15.62,-70:07:16.7,15.871,17.357,1.486,269.916,9072.0,0.057,0.2999,89.1,141.5,1,LMC,49970.0,0.5309999999999998,0.3529568645235895,51.09660024955698,1.4797461160655891,4373.53598526223,223.22587044642773,2.1525999999999996,1.0843619296985394,-0.7,-0.006162400580672853,2.836541311619784,0.2565,0.0,0.5309999999999999,867.2286396422172
OGLE-LMC-HB-0191,RG,05:18:18.74,-69:07:51.2,15.566,17.32,1.754,462.61,9094.4,0.028,0.176,67.8,67.3,1,LMC,49970.0,0.3893963688405112,0.5661756870358114,69.56644742809976,2.136193515979034,4042.3688298314282,291.4478780539685,1.9553999999999958,1.5471533315975574,-0.7,0.018776915758636745,5.483049954812201,0.27225,0.0,0.68625,1173.1733312451295
OGLE-LMC-HB-0192,RG,05:18:19.06,-70:17:42.6,15.768,17.222,1.454,795.53,9549.9,0.024,0.559,68.0,72.5,1,LMC,49970.0,0.11434180757865917,0.3574117993615469,51.2180035915864,1.4683972672354286,4239.535774912277,192.38862866716295,1.8193603656288875,0.7904305627439536,-0.7,0.004609615497398407,3.183356158650279,0.31949999999999995,0.03599999999999997,0.5625,769.3736261810658
