ID,Type,RA,Decl,I,V,V_I,P,T0,A,Ecc,Incl,Peri,Model,loc,sed_dist,sed_av,sed_radius,sed_teff,sed_logg,sed_feh,sed_irslope,sed_chi2oN,Av_median,Av_minus_two_sigma,Av_plus_two_sigma,sed_L
OGLE-LMC-HB-0196,RG,05:18:51.09,-70:02:42.2,15.995,17.468,1.473,420.02,9161.9,0.015,0.207,60.0,44.1,1,LMC,49970.000076379256,0.4724999999999789,49.66210919149529,4207.642457448151,1.8319373427469332,-0.7,-0.0005677996867478747,4.043445380700071,0.2205,0.0,0.47250000000000003,701.8178674831569
OGLE-LMC-HB-0197,RG,05:18:52.05,-69:29:51.1,16.511,18.023,1.512,232.874,9023.0,0.034,0.181,59.0,46.2,1,LMC,49970.000516959735,0.7132499999992651,39.875886976664695,4341.635625146772,2.3095999999999997,-0.7,0.0004740544560903142,1.2335925381721262,0.25875000000000004,0.0,0.71325,512.9239596477522
OGLE-LMC-HB-0198,RG,05:18:55.86,-69:26:17.7,15.881,17.598,1.717,313.26,9182.2,0.027,0.187,81.7,62.2,1,LMC,49969.99919946635,0.8977499999998168,52.73293071987654,4354.601286368549,2.1359999999999966,-0.7,0.0287832808416144,2.8612563713646733,0.28125,0.0,0.89775,907.7707569253442
OGLE-LMC-HB-0199,RG,05:19:03.69,-69:39:16.6,15.426,17.174,1.748,397.707,9057.5,0.098,0.3219,89.6,88.7,1,LMC,49970.00015609868,0.5884692711982605,67.13505154911032,4068.862540672736,0.07116511905597767,-0.7,0.009445603237493702,1.0607216259901915,0.225,0.0,0.621,1121.526426148521
OGLE-LMC-HB-0200,RG,05:19:04.48,-69:19:05.4,15.001,16.58,1.579,439.93,9049.4,0.045,0.227,60.5,123.1,1,LMC,49970.0008895247,0.7131522611850203,76.03048173618157,4305.018058681563,1.8979999999962012,-0.7,0.00528463439170614,1.1780846311753355,0.243,0.0,0.729,1802.5784699895194
OGLE-LMC-HB-0201,RG,05:19:14.04,-69:51:17.2,15.028,15.887,0.859,98.5696,9046.37,0.034,0.2899,66.7,150.4,1,LMC,49970.00070789084,0.26158669835452575,43.303107916413545,5170.223857808807,0.5244480731770972,-0.7,-0.0036738130064082938,0.21847318000134464,0.216,0.0,0.711,1216.450129338789
OGLE-LMC-HB-0202,RG,05:19:14.72,-69:52:37.0,15.683,17.139,1.456,279.81,9052.6,0.042,0.3076,63.4,146.9,1,LMC,49969.99903761618,0.5872499999600331,48.22147857160542,4469.525067156869,2.1994999999864144,-0.7,-0.007246664774389593,1.7970146405815661,0.20925,0.0,0.58725,842.4523371089608
OGLE-LMC-HB-0203,RG,05:19:19.74,-69:39:56.3,15.663,17.329,1.666,583.24,9055.7,0.051,0.4926,57.5,139.4,1,LMC,49970.00008182656,0.1250308712901933,57.378366964498284,3931.5072389827815,0.6610251568180842,-0.7,-0.11672483392668774,0.7657673200985353,0.24075,0.0,0.66825,714.0875657362078
OGLE-LMC-HB-0204,RG,05:19:26.38,-70:19:12.0,16.505,17.815,1.31,165.765,9159.4,0.031,0.301,88.8,71.6,1,LMC,49969.999731506825,0.30219388615973386,35.0500107921254,4359.843293821418,1.4291428670984627,-0.7,-0.005654209792178689,1.9091519276300564,0.27675,0.038250000000000006,0.5107499999999999,402.9754746841546
OGLE-LMC-HB-0205,RG,05:19:27.36,-69:14:35.9,15.57,17.089,1.519,327.313,9200.83,0.106,0.3002,60.54,163.43,0,LMC,49970.00096221679,0.553163578339676,60.58949174437337,4214.8932595789365,2.000004207397209,-0.7,0.04143616981484713,2.3423805346321447,0.1755,0.0,0.5535,1051.8643272148406
