# Date:     2023-05-07 18:47:20
# Database: ocvs
# Target:   all_hb
# Query:    P>=0 
# Objects:  991
# Columns:
# ID	Type	RA	Decl	I	V	V_I	P	T0	A	Ecc	Incl	Peri	Model
OGLE-BLG-HB-0096	RG	17:48:49.27	-34:59:41.7	14.259	16.548	2.289	212.35400000	9181.4000	0.019	0.1946	55.20	116.70	1
OGLE-BLG-HB-0097	RG	17:49:14.75	-22:57:43.8	14.307	17.744	3.437	496.02000000	9276.1000	0.036	0.3979	68.20	139.70	1
OGLE-BLG-HB-0098	RG	17:49:15.81	-22:53:41.3	14.023	17.875	3.852	330.08700000	9058.0000	0.070	0.1050	59.50	149.20	1
OGLE-BLG-HB-0099	RG	17:49:40.10	-33:14:05.4	14.847	17.726	2.879	262.81600000	9071.0000	0.026	0.4361	64.00	170.70	1
OGLE-BLG-HB-0100	RG	17:49:40.45	-22:55:30.4	14.406	17.964	3.558	278.76200000	9081.0000	0.025	0.1846	67.30	53.10	1
OGLE-BLG-HB-0101	RG	17:49:41.43	-34:07:21.3	14.592	17.250	2.658	198.77100000	9035.3000	0.026	0.2181	89.60	135.50	1
OGLE-BLG-HB-0102	RG	17:49:41.60	-34:43:11.0	13.968	16.159	2.191	192.18000000	9175.4000	0.033	0.0980	52.50	143.20	1
OGLE-BLG-HB-0103	RG	17:49:41.67	-32:49:54.6	14.967	19.297	4.330	295.99310000	9135.9200	0.180	0.2443	50.39	2.91	0
OGLE-BLG-HB-0104	RG	17:49:43.95	-34:29:12.7	14.254	16.481	2.227	199.71900000	9162.2000	0.024	0.3430	80.40	77.40	1
OGLE-BLG-HB-0105	RG	17:49:44.04	-35:11:06.9	13.820	15.814	1.994	88.77220000	9076.8000	0.016	0.0972	65.00	173.50	1
OGLE-BLG-HB-0106	RG	17:49:44.17	-33:17:35.6	13.810	16.448	2.638	284.69000000	9234.6100	0.035	0.2574	74.20	93.50	1
OGLE-BLG-HB-0107	RG	17:50:01.13	-34:35:15.6	14.149	16.744	2.595	178.88000000	9000.6000	0.015	0.1713	67.60	175.20	1
OGLE-BLG-HB-0108	RG	17:50:02.80	-30:21:23.3	15.317	20.460	5.143	234.59300000	9195.9100	0.029	0.0898	47.72	24.19	1
OGLE-BLG-HB-0109	RG	17:50:03.18	-32:50:12.2	14.439	19.085	4.646	396.11700000	9012.8100	0.068	0.1279	79.50	30.36	1
OGLE-BLG-HB-0110	RG	17:50:07.46	-30:30:32.3	15.233	19.005	3.772	165.51200000	9058.6900	0.022	0.1472	70.30	85.40	1
