angDist,_RAJ2000,_DEJ2000,Loc,ID,Type,RAJ2000,DEJ2000,OGLE-IV,Other,Imag,Vmag,Per,T0,Amp,e,i,omega,Var,Mod,P16,Simbad,ra,dec,Umag,Bmag,Vmag,Imag,e_Umag,e_Bmag,e_Vmag,e_Imag,flag
0.644202,73.7424583,-67.6338889,LMC,OGLE-LMC-HB-0027,MS,04 54 58.19,-67 38 02.0,LMC532.28.22811,OGLE-LMC-ECL-27523,16.177,16.108,6.45144488,9004.7557,0.028,0.3278,48.24,59.89,ECL,0,1,Simbad,73.74244,-67.63371,15.448,16.025,16.130,16.205,0.045,0.028,0.023,0.034,10
3.113366,73.7424583,-67.6338889,LMC,OGLE-LMC-HB-0027,MS,04 54 58.19,-67 38 02.0,LMC532.28.22811,OGLE-LMC-ECL-27523,16.177,16.108,6.45144488,9004.7557,0.028,0.3278,48.24,59.89,ECL,0,1,Simbad,73.74205,-67.63474,,21.768,21.604,,,0.166,0.183,,0
3.995437,73.7424583,-67.6338889,LMC,OGLE-LMC-HB-0027,MS,04 54 58.19,-67 38 02.0,LMC532.28.22811,OGLE-LMC-ECL-27523,16.177,16.108,6.45144488,9004.7557,0.028,0.3278,48.24,59.89,ECL,0,1,Simbad,73.73997,-67.63331,,22.084,22.585,,,0.182,0.359,,0
0.496100,73.7872083,-67.5908333,LMC,OGLE-LMC-HB-0028,RG,04 55 08.93,-67 35 27.0,LMC532.28.27326,,14.292,15.669,636.65099804,9517.0527,0.028,0.4939,56.45,2.95,,1,0,Simbad,73.78737,-67.59071,18.226,17.006,15.608,14.224,0.062,0.029,0.019,0.029,10
2.522603,73.7872083,-67.5908333,LMC,OGLE-LMC-HB-0028,RG,04 55 08.93,-67 35 27.0,LMC532.28.27326,,14.292,15.669,636.65099804,9517.0527,0.028,0.4939,56.45,2.95,,1,0,Simbad,73.78768,-67.59151,18.159,18.536,18.546,18.595,0.063,0.035,0.036,0.074,10
4.667701,73.7872083,-67.5908333,LMC,OGLE-LMC-HB-0028,RG,04 55 08.93,-67 35 27.0,LMC532.28.27326,,14.292,15.669,636.65099804,9517.0527,0.028,0.4939,56.45,2.95,,1,0,Simbad,73.78966,-67.59173,,20.145,19.100,18.082,,0.115,0.044,0.054,0
0.303972,73.8800833,-69.4681944,LMC,OGLE-LMC-HB-0030,MS,04 55 31.22,-69 28 05.5,LMC531.10.36227,,16.516,16.656,395.06723499,9386.9372,0.097,0.4619,35.15,35.44,ECL,0,0,Simbad,73.88008,-69.46811,16.110,16.635,16.663,16.601,0.040,0.035,0.034,0.042,10
3.615397,73.8800833,-69.4681944,LMC,OGLE-LMC-HB-0030,MS,04 55 31.22,-69 28 05.5,LMC531.10.36227,,16.516,16.656,395.06723499,9386.9372,0.097,0.4619,35.15,35.44,ECL,0,0,Simbad,73.87722,-69.46819,,21.063,19.960,19.085,,0.099,0.084,0.071,0
3.982026,73.8800833,-69.4681944,LMC,OGLE-LMC-HB-0030,MS,04 55 31.22,-69 28 05.5,LMC531.10.36227,,16.516,16.656,395.06723499,9386.9372,0.097,0.4619,35.15,35.44,ECL,0,0,Simbad,73.88181,-69.46912,19.782,20.363,18.452,,0.195,0.206,0.096,,0
4.386695,73.8800833,-69.4681944,LMC,OGLE-LMC-HB-0030,MS,04 55 31.22,-69 28 05.5,LMC531.10.36227,,16.516,16.656,395.06723499,9386.9372,0.097,0.4619,35.15,35.44,ECL,0,0,Simbad,73.88341,-69.46854,20.429,20.284,20.614,,0.169,0.078,0.171,,0
0.368462,73.9344167,-68.7109722,LMC,OGLE-LMC-HB-0031,RG,04 55 44.26,-68 42 39.5,LMC531.27.57392,,15.641,17.281,496.02659813,9267.5482,0.045,0.3979,62.28,174.25,,1,0,Simbad,73.93440,-68.71087,,19.008,17.277,15.575,,0.085,0.090,0.043,0
